fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
170535,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",14,1.15,0.13,2.97,1.3,1.69,0.067,0.01,0,0,0,0,0,0,0.027,9,3.7,0,0.12,0.045,8,0,13,0.2,0.2,0.48,194,0.386,17,0.047,0,0.23,0,25,0.041,0.04,0.265,0,238,0
170536,"Squash, winter, butternut, frozen, cooked, boiled, with salt",39.285714,1.23,0.07,10.04,0,0,0.07,0.005,0,0,0,0,0,0,0.014,167,3.5,0,0,0.069,16,0,9,0.12,0.5,0.58,133,0.464,19,0.036,0,0.173,0,14,0.05,0.039,0.154,0,238,0
170537,"Squash, winter, hubbard, baked, with salt",50,2.48,0.62,10.81,4.9,4.9,0.084,0.046,0,0,0,0,0,0,0.128,335,9.5,0,0.2,0.172,16,0,22,0.15,0.6,0.47,358,0.558,17,0.045,0,0.17,0,23,0.074,0.047,0.447,0,244,0
170538,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",29.761905,1.48,0.37,6.46,2.9,2.93,0.084,0.028,0,0,0,0,0,0,0.076,200,6.5,0,0.12,0.103,10,0,13,0.1,0.3,0.28,214,0.334,10,0.047,0,0.126,0,14,0.042,0.028,0.297,0,241,0
170539,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",27,0.66,0.26,6.46,1.4,2.53,0.034,0.022,0,0,0,0,0,0,0.062,6,3.5,0,0.12,0.099,8,0,11,0.2,0.3,0.34,117,0.81,21,0.035,0,0.109,0,0,0.038,0.022,0.355,0,254,0
170540,"Succotash, (corn and limas), cooked, boiled, drained, with salt",111,5.07,0.8,24.37,0,0,0.446,0.155,0,0,0,0,0,0,0.148,15,8.2,0,0,0.116,33,0,53,0.63,0.6,1.52,410,1.327,17,0.179,0,0.769,0,117,0.168,0.096,0.567,0,253,0
170541,"Sweet potato, cooked, boiled, without skin, with salt",76,1.37,0.14,17.72,2.5,5.74,0.121,0,0,0,0,0,0,0,0.04,787,12.8,0,0.94,0.165,6,0,18,0.2,0.2,0.72,230,0.538,27,0.094,0,0.266,0,32,0.056,0.047,0.581,0,263,0
170542,"Sweet potato, frozen, cooked, baked, with salt",100,1.71,0.12,23.4,1.8,0,0.126,0.005,0,0,0,0,0,0,0.026,821,9.1,0,0,0.186,22,0,21,0.3,0.6,0.54,377,0.555,35,0.183,0,0.665,0,44,0.066,0.056,0.56,0,244,0
170543,"Taro, cooked, with salt",141.428571,0.52,0.11,34.6,5.1,0.49,0.038,0.009,0,0,0,0,0,0,0.023,4,5,0,2.93,0.331,19,0,30,0.27,0.9,0.72,484,0.51,18,0.201,0,0.449,0,76,0.107,0.028,0.336,0,251,0
170544,"Taro, leaves, cooked, steamed, with salt",24,2.72,0.41,3.89,2,0,0.214,0.033,0,0,0,0,0,0,0.083,212,35.5,0,0,0.072,48,0,20,0.21,0.9,1.18,460,1.267,86,0.14,0,0.371,0,27,0.139,0.38,0.044,0,238,0
